Index	Var	Importance
7	MAGOH	0.930751964085297
16	RBM3	0.833670033670034
12	PTBP1	0.797530864197531
15	RBM22	0.794612794612795
43	U5	0.791021324354658
19	SC35	0.786531986531987
26	SRSF10	0.783894500561167
32	TIA1	0.780583613916947
17	RBM45	0.765263748597082
27	SRSF3	0.761335578002245
8	NOVA1	0.722643097643098
34	TRA2B	0.712766554433221
13	RAVER1	0.698063973063973
33	TRA2A	0.660802469135802
30	SRSF6	0.645819304152637
3	CUGBP	0.627749719416386
6	FBP11	0.606116722783389
10	PRP8	0.593939393939394
24	SRM160	0.592789001122334
1	CA150	0.589169472502806
39	U2AF1	0.581874298540965
40	U2AF2	0.550476992143659
35	U1	0.535914702581369
21	SF3BTV2	0.516694725028058
31	SRSF9	0.507295173961841
23	SND1	0.475701459034792
29	SRSF5	0.45016835016835
20	SF3BTV1	0.439534231200898
18	SAM68TV1	0.435409652076319
22	SKIP	0.4331088664422
11	PSF	0.324971941638608
44	U6	0.311840628507295
14	RBM17	0.30314253647587
42	U4ATAC	0.297081930415264
28	SRSF4	0.29304152637486
38	U2	0.273120089786756
36	U11	0.247586980920314
45	U6ATAC	0.231200897867565
41	U4	0.229292929292929
4	ESRP1	0.196296296296296
9	nSR100	0.191694725028058
37	U12	0.179180695847363
2	CELF4	0.177441077441077
25	SRSF1	0.171661054994388
5	ESRP2	0.171212121212121
