support,itemsets
0.22272727272727272,frozenset({'RBM22'})
0.19545454545454546,frozenset({'SRSF10'})
0.16363636363636364,frozenset({'TRA2A'})
0.14545454545454545,frozenset({'U6'})
0.11818181818181818,frozenset({'SC35'})
0.10909090909090909,frozenset({'FBP11'})
0.10909090909090909,frozenset({'U4ATAC'})
0.10909090909090909,frozenset({'SRM160'})
0.10909090909090909,frozenset({'U11'})
0.10454545454545454,"frozenset({'SRSF10', 'SC35'})"
0.10454545454545454,frozenset({'RBM3'})
0.09090909090909091,frozenset({'TRA2B'})
0.09090909090909091,frozenset({'TIA1'})
0.09090909090909091,frozenset({'SRSF5'})
0.08636363636363636,frozenset({'SRSF6'})
0.07727272727272727,"frozenset({'SRM160', 'SRSF6'})"
0.07727272727272727,"frozenset({'SRSF6', 'FBP11'})"
0.07727272727272727,frozenset({'PTBP1'})
0.07727272727272727,"frozenset({'SRM160', 'FBP11'})"
0.07727272727272727,"frozenset({'SRM160', 'SRSF6', 'FBP11'})"
0.06818181818181818,"frozenset({'U6', 'SRSF5'})"
0.06818181818181818,"frozenset({'TRA2A', 'TIA1'})"
0.06818181818181818,"frozenset({'RBM22', 'PTBP1'})"
0.06363636363636363,"frozenset({'TRA2A', 'TRA2B'})"
0.05909090909090909,"frozenset({'U6', 'U4ATAC'})"
0.05909090909090909,"frozenset({'U6', 'SRSF5', 'U4ATAC'})"
0.05909090909090909,"frozenset({'SRSF5', 'U4ATAC'})"
0.05454545454545454,frozenset({'CELF4'})
0.05454545454545454,frozenset({'MAGOH'})
0.05454545454545454,frozenset({'U6ATAC'})
0.05,frozenset({'SAM68TV1'})
0.05,frozenset({'SRSF9'})
0.05,frozenset({'U2AF1'})
0.05,frozenset({'nSR100'})
0.045454545454545456,frozenset({'SKIP'})
0.04090909090909091,"frozenset({'SRSF5', 'SRSF9'})"
0.04090909090909091,"frozenset({'U6', 'SRSF5', 'SRSF9'})"
0.04090909090909091,"frozenset({'U6', 'SRSF9'})"
0.04090909090909091,"frozenset({'U6', 'U11'})"
0.03636363636363636,frozenset({'SF3BTV2'})
0.03636363636363636,frozenset({'U2'})
0.03636363636363636,frozenset({'SRSF1'})
0.031818181818181815,frozenset({'CA150'})
0.031818181818181815,"frozenset({'U4ATAC', 'SRSF9'})"
0.031818181818181815,"frozenset({'U6', 'U4ATAC', 'SRSF9'})"
0.031818181818181815,frozenset({'U2AF2'})
0.031818181818181815,frozenset({'U4'})
0.031818181818181815,frozenset({'ESRP1'})
0.031818181818181815,frozenset({'SF3BTV1'})
0.031818181818181815,"frozenset({'SRSF5', 'U4ATAC', 'SRSF9'})"
0.031818181818181815,frozenset({'SRSF3'})
0.031818181818181815,"frozenset({'U6', 'SRSF5', 'U4ATAC', 'SRSF9'})"
0.02727272727272727,"frozenset({'U6', 'SRSF5', 'U4ATAC', 'SAM68TV1'})"
0.02727272727272727,"frozenset({'U6', 'SRSF5', 'SAM68TV1'})"
0.02727272727272727,"frozenset({'U4ATAC', 'U11'})"
0.02727272727272727,"frozenset({'U4ATAC', 'SAM68TV1'})"
0.02727272727272727,"frozenset({'SRSF5', 'U4ATAC', 'SAM68TV1'})"
0.02727272727272727,"frozenset({'U6', 'U4ATAC', 'SAM68TV1'})"
0.02727272727272727,"frozenset({'SRSF5', 'SAM68TV1'})"
0.02727272727272727,"frozenset({'U6', 'SAM68TV1'})"
0.02727272727272727,frozenset({'CUGBP'})
0.02727272727272727,frozenset({'ESRP2'})
0.02727272727272727,frozenset({'SRSF4'})
0.02727272727272727,frozenset({'RAVER1'})
0.02727272727272727,frozenset({'PRP8'})
0.02727272727272727,frozenset({'RBM17'})
0.02727272727272727,frozenset({'U1'})
0.022727272727272728,frozenset({'RBM45'})
0.022727272727272728,frozenset({'NOVA1'})
0.01818181818181818,frozenset({'U5'})
0.01818181818181818,"frozenset({'SRSF3', 'RBM45'})"
0.01818181818181818,frozenset({'PSF'})
0.01818181818181818,frozenset({'U12'})
0.013636363636363636,"frozenset({'SF3BTV2', 'U2AF1', 'RBM17'})"
0.013636363636363636,"frozenset({'SF3BTV2', 'RBM17', 'U11'})"
0.013636363636363636,"frozenset({'U2AF1', 'RBM17', 'U11'})"
0.013636363636363636,"frozenset({'SF3BTV2', 'U2AF1', 'U11'})"
0.013636363636363636,frozenset({'SND1'})
0.013636363636363636,"frozenset({'RBM17', 'U11'})"
0.013636363636363636,"frozenset({'U2AF1', 'RBM17'})"
0.013636363636363636,"frozenset({'SRSF3', 'NOVA1'})"
0.013636363636363636,"frozenset({'SF3BTV2', 'U2AF1'})"
0.013636363636363636,"frozenset({'U6', 'ESRP1'})"
0.013636363636363636,"frozenset({'SRSF1', 'U4ATAC'})"
0.013636363636363636,"frozenset({'U6', 'SRSF1'})"
0.013636363636363636,"frozenset({'U6', 'CELF4'})"
0.013636363636363636,"frozenset({'U4ATAC', 'ESRP1'})"
0.013636363636363636,"frozenset({'U6ATAC', 'U11'})"
0.013636363636363636,"frozenset({'SF3BTV2', 'U11'})"
0.013636363636363636,"frozenset({'U2AF1', 'U11'})"
0.013636363636363636,"frozenset({'SF3BTV2', 'RBM17'})"
0.013636363636363636,"frozenset({'SF3BTV2', 'U2AF1', 'RBM17', 'U11'})"
