ID,NumberAtts,Atts,ROC,Sens,Spec
1,1,MAGOH,1,1,1
3,2,MAGOH PTBP1,1,1,1
4,2,MAGOH RBM22,1,1,1
7,2,MAGOH SRSF10,1,1,1
12,2,MAGOH TRA2B,1,1,1
13,2,MAGOH RAVER1,1,1,1
20,2,MAGOH CA150,0.866379310344828,0.75,1
25,2,MAGOH SRSF9,0.870689655172414,0.75,1
26,2,MAGOH SND1,0.870689655172414,0.75,1
27,2,MAGOH SRSF5,0.991379310344828,0.75,1
28,2,MAGOH SF3BTV1,1,1,1
30,2,MAGOH SKIP,1,1,1
31,2,MAGOH PSF,1,1,1
33,2,MAGOH RBM17,1,1,1
34,2,MAGOH U4ATAC,1,0.75,1
35,2,MAGOH SRSF4,1,0.5,1
36,2,MAGOH U2,0.982758620689655,0.5,1
39,2,MAGOH U4,1,1,1
42,2,MAGOH U12,1,0.75,1
43,2,MAGOH CELF4,1,1,1
46,1,RBM3,1,1,1
47,2,RBM3 PTBP1,1,1,1
49,2,RBM3 U5,1,1,1
50,2,RBM3 SC35,1,1,1
51,2,RBM3 SRSF10,1,1,1
56,2,RBM3 TRA2B,1,1,1
58,2,RBM3 TRA2A,1,1,1
63,2,RBM3 SRM160,1,1,1
64,2,RBM3 CA150,1,1,1
66,2,RBM3 U2AF2,1,1,1
70,2,RBM3 SND1,0.991379310344828,0.75,1
72,2,RBM3 SF3BTV1,1,1,1
73,2,RBM3 SAM68TV1,1,1,1
74,2,RBM3 SKIP,1,1,1
75,2,RBM3 PSF,1,1,1
76,2,RBM3 U6,1,1,1
77,2,RBM3 RBM17,1,1,1
78,2,RBM3 U4ATAC,1,1,1
79,2,RBM3 SRSF4,1,1,1
80,2,RBM3 U2,1,1,1
81,2,RBM3 U11,1,1,1
82,2,RBM3 U6ATAC,1,1,1
85,2,RBM3 nSR100,1,1,1
87,2,RBM3 CELF4,1,1,1
92,3,PTBP1 RBM22 U5,1,1,1
95,3,PTBP1 RBM22 TIA1,1,1,1
101,3,PTBP1 RBM22 TRA2A,1,1,1
104,3,PTBP1 RBM22 FBP11,1,1,1
105,3,PTBP1 RBM22 PRP8,1,1,1
110,3,PTBP1 RBM22 U1,1,1,1
114,3,PTBP1 RBM22 SRSF5,1,1,1
115,3,PTBP1 RBM22 SF3BTV1,1,1,1
117,3,PTBP1 RBM22 SKIP,1,1,1
119,3,PTBP1 RBM22 U6,1,1,1
121,3,PTBP1 RBM22 U4ATAC,1,1,1
122,3,PTBP1 RBM22 SRSF4,1,1,1
123,3,PTBP1 RBM22 U2,1,1,1
125,3,PTBP1 RBM22 U6ATAC,1,1,1
126,3,PTBP1 RBM22 U4,0.866379310344828,0.75,1
128,3,PTBP1 RBM22 nSR100,1,1,1
133,1,RBM22,1,1,1
134,2,RBM22 U5,1,1,1
135,2,RBM22 SC35,1,1,1
137,2,RBM22 TIA1,1,1,1
138,2,RBM22 RBM45,1,1,1
140,2,RBM22 NOVA1,1,1,1
141,2,RBM22 TRA2B,1,1,1
143,2,RBM22 TRA2A,1,1,1
145,2,RBM22 CUGBP,1,1,1
146,2,RBM22 FBP11,1,1,1
147,2,RBM22 PRP8,1,1,1
148,2,RBM22 SRM160,1,1,1
149,2,RBM22 CA150,1,1,1
150,2,RBM22 U2AF1,1,1,1
152,2,RBM22 U1,1,1,1
153,2,RBM22 SF3BTV2,1,1,1
155,2,RBM22 SND1,1,1,1
156,2,RBM22 SRSF5,1,1,1
157,2,RBM22 SF3BTV1,1,1,1
158,2,RBM22 SAM68TV1,1,1,1
159,2,RBM22 SKIP,1,1,1
160,2,RBM22 PSF,1,1,1
161,2,RBM22 U6,1,1,1
163,2,RBM22 U4ATAC,1,1,1
165,2,RBM22 U2,1,1,1
166,2,RBM22 U11,1,1,1
167,2,RBM22 U6ATAC,1,1,1
168,2,RBM22 U4,1,1,1
169,2,RBM22 ESRP1,1,1,1
170,2,RBM22 nSR100,1,1,1
171,2,RBM22 U12,1,1,1
172,2,RBM22 CELF4,1,1,1
174,2,RBM22 ESRP2,1,1,1
