support,itemsets
0.3271889400921659,frozenset({'SRSF10'})
0.28110599078341014,frozenset({'SC35'})
0.1935483870967742,frozenset({'RBM3'})
0.17972350230414746,frozenset({'RBM22'})
0.17050691244239632,"frozenset({'SC35', 'SRSF10'})"
0.15668202764976957,frozenset({'MAGOH'})
0.11059907834101383,frozenset({'U5'})
0.10138248847926268,frozenset({'FBP11'})
0.10138248847926268,"frozenset({'U5', 'SC35'})"
0.0967741935483871,frozenset({'CUGBP'})
0.07834101382488479,"frozenset({'FBP11', 'CUGBP'})"
0.06912442396313365,frozenset({'SRSF6'})
0.059907834101382486,frozenset({'TRA2A'})
0.059907834101382486,frozenset({'PSF'})
0.059907834101382486,frozenset({'SKIP'})
0.04608294930875576,"frozenset({'FBP11', 'CUGBP', 'SRSF6', 'TRA2A'})"
0.04608294930875576,"frozenset({'SRSF6', 'CUGBP'})"
0.04608294930875576,"frozenset({'CUGBP', 'TRA2A'})"
0.04608294930875576,"frozenset({'FBP11', 'SRSF6'})"
0.04608294930875576,"frozenset({'SRSF6', 'TRA2A'})"
0.04608294930875576,"frozenset({'FBP11', 'TRA2A'})"
0.04608294930875576,"frozenset({'CUGBP', 'SRSF6', 'TRA2A'})"
0.04608294930875576,"frozenset({'FBP11', 'SRSF6', 'TRA2A'})"
0.04608294930875576,"frozenset({'FBP11', 'CUGBP', 'TRA2A'})"
0.04608294930875576,"frozenset({'FBP11', 'SRSF6', 'CUGBP'})"
0.03686635944700461,frozenset({'U4ATAC'})
0.03686635944700461,frozenset({'U6'})
0.03225806451612903,"frozenset({'SKIP', 'PSF'})"
0.03225806451612903,"frozenset({'FBP11', 'SKIP'})"
0.03225806451612903,"frozenset({'FBP11', 'PSF'})"
0.03225806451612903,frozenset({'SF3BTV2'})
0.03225806451612903,"frozenset({'FBP11', 'CUGBP', 'SKIP', 'PSF'})"
0.03225806451612903,frozenset({'SND1'})
0.03225806451612903,frozenset({'U2'})
0.03225806451612903,"frozenset({'CUGBP', 'PSF'})"
0.03225806451612903,"frozenset({'SKIP', 'CUGBP'})"
0.03225806451612903,"frozenset({'FBP11', 'CUGBP', 'PSF'})"
0.03225806451612903,"frozenset({'CUGBP', 'SKIP', 'PSF'})"
0.03225806451612903,"frozenset({'FBP11', 'SKIP', 'CUGBP'})"
0.03225806451612903,"frozenset({'FBP11', 'SKIP', 'PSF'})"
0.027649769585253458,frozenset({'PRP8'})
0.027649769585253458,frozenset({'SRSF4'})
0.027649769585253458,frozenset({'SRSF3'})
0.027649769585253458,frozenset({'SRSF9'})
0.027649769585253458,frozenset({'U2AF2'})
0.027649769585253458,frozenset({'U6ATAC'})
0.027649769585253458,frozenset({'SAM68TV1'})
0.02304147465437788,frozenset({'PTBP1'})
0.02304147465437788,frozenset({'U11'})
0.02304147465437788,frozenset({'CA150'})
0.02304147465437788,frozenset({'U4'})
0.02304147465437788,frozenset({'U1'})
0.02304147465437788,frozenset({'SRSF5'})
0.02304147465437788,frozenset({'RBM17'})
0.02304147465437788,frozenset({'SF3BTV1'})
0.02304147465437788,frozenset({'U12'})
0.018433179723502304,"frozenset({'PTBP1', 'RBM22'})"
0.018433179723502304,frozenset({'U2AF1'})
0.013824884792626729,frozenset({'ESRP2'})
0.013824884792626729,frozenset({'NOVA1'})
0.013824884792626729,frozenset({'RBM45'})
